model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,21.0,0.5419276433198141,-16.77429054124798,0.14285161795730453,0.09767910509483259,0.14285161795730453,0.0018407291969354045,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,21.2,0.5408750696336053,-16.719553623399122,0.1453199859794425,0.09933725427203535,0.1453199859794425,0.001876332751470794,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,21.4,0.5402650233572188,-16.664819531364003,0.14778698319506986,0.10099452085801065,0.14778698319506986,0.0019119346233729315,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,21.6,0.5396494558299972,-16.61021184860084,0.1502521605497199,0.10265110792529782,0.1502521605497199,0.0019475406059789395,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,21.8,0.5394733576738225,-16.5559896285028,0.15271367785294343,0.10430660989798388,0.15271367785294343,0.0019831436455006166,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,22.0,0.5384059070134866,-16.501668048095098,0.1551702780686348,0.10596041605060558,0.1551702780686348,0.002018729979670463,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,22.2,0.5377801414876386,-16.447346550009115,0.1576257882985223,0.1076133594536741,0.1576257882985223,0.0020543133858766335,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,22.4,0.5371487230546397,-16.393149393899364,0.16007972647432295,0.10926563968426066,0.16007972647432295,0.0020898997094969322,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,22.6,0.5369558698991596,-16.339335900197455,0.16253025525399428,0.1109168547763805,0.16253025525399428,0.0021254821270530154,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,22.8,0.5363154471206799,-16.28570332494843,0.16497478028738918,0.1125661413280539,0.16497478028738918,0.0021610425759860425,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,23.0,0.5347892429327367,-16.23158336659975,0.16741736612112762,0.11421404870616984,0.16741736612112762,0.0021965873645664272,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,23.2,0.5350269841702939,-16.177967502936156,0.16986104960335366,0.11586190542504923,0.16986104960335366,0.002232144125848773,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,23.4,0.5339306240159519,-16.12437441540675,0.17230008281180675,0.1175084366403015,0.17230008281180675,0.00226769148098539,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,23.6,0.5332761312532549,-16.07075391603729,0.17473797021713183,0.11915404078025461,0.17473797021713183,0.0023032339344099856,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,23.8,0.5330572203152892,-16.017536916173015,0.177173090578053,0.12079870169731917,0.177173090578053,0.002338773095874964,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,24.0,0.5319503205988688,-15.964215352357712,0.1796040411309868,0.12244178829890319,0.1796040411309868,0.0023742956802614676,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,24.2,0.5317241209980945,-15.91117004887252,0.18203307101874366,0.12408381232669,0.18203307101874366,0.002409809907259995,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,24.4,0.52842098992259,-15.85662389046945,0.18446515144673145,0.12572568233905043,0.18446515144673145,0.002445331959291722,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,24.6,0.5255892655106549,-15.800238469533099,0.18692121257437894,0.12737301945914706,0.18692121257437894,0.0024809733731680325,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,24.8,0.5227736404069511,-15.74224789447129,0.18941101079355913,0.1290304713306511,0.18941101079355913,0.0025168476401804477,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,25.0,0.5187198464231496,-15.681761510521937,0.19194297521751424,0.13070137078527935,0.19194297521751424,0.0025530479329141545,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,25.2,0.5159511387470063,-15.619382168864604,0.19452582843047722,0.1323894449529237,0.19452582843047722,0.0025896829891738048,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,25.4,0.5131904914444145,-15.55542208935816,0.19715606902935767,0.13409537891953294,0.19715606902935767,0.002626810462139281,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,25.6,0.5116568385537407,-15.49067636482954,0.19982691778137127,0.13581804019210886,0.19982691778137127,0.0026644469998261225,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,25.8,0.5085044494287784,-15.424233332684082,0.20253111035850596,0.13755523529104494,0.20253111035850596,0.0027025783553380474,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,26.0,0.5061720038659375,-15.356263540598661,0.20527211774566176,0.1393072906448012,0.20527211774566176,0.0027412312956532126,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,26.2,0.50305238062588,-15.286441850471647,0.2080493806975369,0.14107427874163503,0.2080493806975369,0.002780432327816061,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,26.4,0.5003423159839708,-15.214838716840916,0.21086576120031486,0.14285678925709558,0.21086576120031486,0.002820216083189296,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,26.6,0.49725394915430743,-15.141287452133042,0.21372130972693784,0.14465499818533537,0.21372130972693784,0.002860612187327679,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,26.8,0.49456430122800904,-15.065967934577259,0.21661669362965402,0.14646904801500982,0.21661669362965402,0.002901648603368243,1,0
